nom,prix,remise,code,EAN 13,référence fabricant,description
"
              THOMSON Fifty 2000 W - Thomson          ",161.67,,B6131500,3527570046582,THO-THBDH09VR,"Thermostat mécanique, 3 puissances de chauffe, protection anti basculement."
"
              Pistolet sablage avec tuyau MICHELIN - MICHELIN          ",30.16,"-41,89%",B6046200,8020119067574,MIC-1126001408,Permet de passer du sable ayant une granulométrie de 0.6 à 0.8;
"
              Echelle télescopique aluminium 9 marches , utilisation régulière HAILO - HAILO          ",175.2,"-19,15%",B5827000,3700867905599,HAI-7113-092,Ultra compacte Systéme de repliage facile à une seule main
"
              Cuve à eau rectangulaire 300L verte - couvercle et robinet PE inclus - GRAF           ",79.13,"-12,95%",J5593900,4023122115052,GRA-501206,La solution simple et économique
"
              Débroussailleuse thermique GC-BC 36-4 S - EINHELL           ",181.17,"-5,13%",J5575600,4006825648751,EIN-3436560,La 
"
              Cheminée électrique décorative ""Frode"" Blanche - Powerflame - TAGU          ",399,,B5544100,5949096089320,TAG-FM461-WH1-23PF1A,"Frode offre une conception ergonomique peu encombrante de seulement 250 mm de profondeur et peut parfaitement s'intégrer dans votre salon, bureau ou chambre. Vous apprécierez son montage facile et minimaliste. Design scandinave aux lignes simples."
"
              Scie à onglet TC-MS 2112 - EINHELL           ",108.78,"-6,99%",B1068700,4006825584929,4300295,"La scie à onglet  permet une découpe rapide, propre et précise de pièces de bois. Grâce à sa"
"
              Escabeau double plans à sangle 4 marche + tablette - OUTIFRANCE           ",165.7,"-22,95%",B328100,3223430147658,8831905,". Tablette de travail antidérapante. Norme EN 131. Traitement lasure extérieure. Marches striées, interchangeables avec renfort métallique pour une plus grande rigidité."
"
              Suspension 1x e27 rotin noir/naturel Kasteli, D.45 cm - SEYNAVE          ",48.26,"-36,48%",B7785100,3361410153302,SEY-82420935,"Une suspension tout en élégance et en légèreté qui diffuse une lumière doucement tamisée. Sa ligne aérienne et sa finesse en font un objet déco à part entière, et elle apporte une jolie touche ethnique au salon ou dans une chambre."
"
              Kit VMC simple flux autoréglable à détection d'humidité Agalina - SAUTER          ",132.66,"-3,1%",B7692100,3410531232073,SAU-123207,• Type de VMC Simple flux autoréglable à détection d'humidité
